comment_id,body,rating
Ugxn2Ag15UkrVAtPDh54AaABAg,kinda love this its not mumble rap bs plus mat loks hot,1
UgzYexcaXBJ0LynLTOF4AaABAg,im hela late god job mat,1
Ugyni2W3FKuZDHttnjp4AaABAg,definitely not deserve dislikes level,1
Ugxr5x-GjFOABloQKV14AaABAg,bro whens next song not let haters stop,1
UgwT9F3OFVNxlrwMgDl4AaABAg,sick beats mat sick beats,1
UgzQg1V08S3Q3ilcNAB4AaABAg,youtuber song actualy did enjoy many dislikes,1
UgwlN8vvfgvoYXoMY714AaABAg,smal crush mat grew like  times during video oh god,1
Ugww-V35HzQqIUrUFlV4AaABAg,sounds like distrack literaly every single view hungry youtuber existence love with pasion,1
UgwHbe9md0_D1zWvS-54AaABAg,mis al clones comedy skits,1
Ugxzgl2cSYkUKTOHhBh4AaABAg,like tbh ned find true meaning behind song,1
UgwNpfyvzcg5k0iaeYt4AaABAg,love matew im glad did this realy do like it,1
Ugwa3gd-Op6dPLSHm2Z4AaABAg,first rap ive heard with real meaningful lyrics,1
UgyjX1OCwKtvMHlDiZl4AaABAg,much hate music video got,1
UgxA1B2jDe0uZ1So63N4AaABAg,at least beter than jake paul,1
UgyQ2NNGS9qu-dkMZXR4AaABAg,not like mixmaster song awesome wel done mat,1
UgzoDHEuxU3-YlQj8EF4AaABAg,o god best song ive ever heard mathew sound mazing,1
UgwwQQJnrI8E8GkNfwF4AaABAg,certainly beter than jake paul kep up work,1
Ugzh9WxJIm12V55ebsB4AaABAg,damn like straight up damn,1
UgyKsi14DRDSsONPUch4AaABAg,man song deserve more likes than dislikesnot haters,1
Ugy7bO5IeOQTS6iwmkt4AaABAg,mat knew would have best verse,1
UgxTnqLLiYbuecZVHvB4AaABAg,not deserve al dislikes not even bad can tel spent lot time,1
UgxX-ryCkotNcHg4srF4AaABAg,congrats gigi can make video baby enzos closet wish where mom,1
UgxAQ519ZYQvuEvJUJZ4AaABAg,congrats gigi familyhugs from india,1
UgwoT6ReOQ3j3CJ0XpN4AaABAg,watching  amazing video realy neded brave youtuber,1
Ugz0enD5Sl-tQVSXK914AaABAg, years later thats true man,1
Ugx3qkc1y6ulUT2BtN94AaABAg,loved video since first  seconds,1
UgyFgRNtnfeJsPloaM54AaABAg,although option unpopular internet agre with casey here,1
UgzwG0GbgUqftgs4jZh4AaABAg, years later hes best president america has ever had,1
Ugwyh5lQTzsxQG9yDjl4AaABAg,ah like him even more now,1
UgwnvthEeY6voVeo0LN4AaABAg,personaly like his apology short video thats not beging forgivenes,1
Ugy6bPMZycyocLiFIiB4AaABAg,like logan has kept video up,1
UgypEqC3w5tr4yN16sF4AaABAg,became beter bro everyone makes mistakes,1
UgxWrisyMBJ5pFndU5d4AaABAg,love how theres more dislikes then likes,1
Ugwjy7FJLb25-9KDRgF4AaABAg,nah man were al god now imjaystation did much worse,1
Ugw7C71SswEB60eenut4AaABAg,loks as if had les emotion as mark zuckerberg actualy like dosent want people defending him,1
Ugwl0qhtnGq1NgSV-qV4AaABAg,does have more dislike knows what did rong hes admiting should have more likes way,1
Ugy27tkkJqM7-p4Dzvd4AaABAg,know what forgive you not do again,1
UggKlBPdcE3l8HgCoAEC,omg haters stop game god when try,1
Ugga0bvezUtiuHgCoAEC,game awesome not understand people who want go back w with batlefield  future war amazing,1
UghiD1ZFPYcEe3gCoAEC,honestly loks prety col not cod,1
UgjvplACz9RZcXgCoAEC,im going buy game judge hate al want not care im stil going buy not change mind,1
Ugj2wRXrrJY8r3gCoAEC,lok awsome not care what anyone else says,1
UggJpGlow9B4G3gCoAEC,who else gona buy game love first few days,1
UgiCH0Oo2mNZT3gCoAEC,do people hate much realy loks god,1
UggxEmYJpyNVJXgCoAEC,itl best game ever god,1
UgjNjoPq27SPtHgCoAEC,how could people hate this,1
UggGIVTBqFWP93gCoAEC,used against game now think itl worth playing,1
UgjYap5udxnnsXgCoAEC,know we not want futuristic cod if title not cod not know cod game people would like damn sick,1
UginZpN3psvHJngCoAEC,its not bad im sick cal duty halo would like cal duty world at war back,1
Ugi7q7ZMD7Lr7HgCoAEC,best cod ever guys say what ever like,1
UghesV5FI-mChngCoAEC,not wait game loks great,1
UghEmBkfLgvxwHgCoAEC,game awesome im gona get,1
Ugy3Ey4ehtlAvEuEulB4AaABAg,man love ned much fel guilty his wife xd,1
Ugz5SfN14UnWJIr2qTN4AaABAg,hapy se bunch turkish youtubers rewind,1
Ugx8FM4U6PQ8RRRyYAx4AaABAg, se fav youtubers alex laurn think saw roi more favs,1
UgyXUgh_Gcw0msbbKmF4AaABAg,im glad they aded animators like jaiden theodonesout,1
Ugyw--jENbgP02Vj7xV4AaABAg,waiting theodsout come into it,1
UgwlIY9VU7IUY3St4uh4AaABAg,anthony throwin shade at pauls laugh,1
UgyriIx_oGxqieIB5U94AaABAg,enjoyed reacting more than rewind,1
UgzOBpq44WiK5s7Fn3N4AaABAg,low key they were shading jake logan paul love,1
UgyWpgHB4kt4K_5ok8N4AaABAg,captainsparklez im hapy omg yay once,1
UgxpY60dUqHHEc0jNzR4AaABAg,love video its god own god,1
UgwJBxVR4kir_KlDse94AaABAg,yay jordan there daniel to,1
UgwY31_XHHd8jHxlnsR4AaABAg,have no idea how hapy am kate joey episode,1
Ugxg4vadv2myRc1102l4AaABAg,pres like machine gun when used funy god video,1
UgwOZWAwE7VG-y39A_l4AaABAg,wow now got shiny silver hard bal amazing,1
UgxFwd0s7gKU-PBCH5J4AaABAg,love vids kep up go work,1
UgynbV1omzlMPaFk2mZ4AaABAg,best chanel learn much from chanel congratulations best thanks,1
Ugz0IJWMl9RC4hlEdFl4AaABAg, we hydrolic pres having fun thats al maters,1
UgyD0BvaZsTX31Xlg7p4AaABAg,woah hydraulic pres sounds badas,1
UgxZ8SWQRcDMGU74Ey54AaABAg,everyone shits movie genuinely beter than oceans  lmao at least had plot,1
UgzljxfWZ8O9Hvf9wcp4AaABAg,cmon yal not bad movie actualy liked it,1
Ugwj8Wv2EnRfWF2hvkd4AaABAg,not care gender actors care if movie any god liked it,1
UgyGozzZUKBuXADEvUt4AaABAg,watched like  times already stil enjoying smile smile laugh,1
Ugy95GnUO7HdjPEFyYt4AaABAg,cate by far colest here,1
UgzK2EUSMpcYiuopkGx4AaABAg,its part  please amazing movie,1
UgzskAeoXLMY_Ux-btJ4AaABAg,love how movie stabs back foward frágile masulinity,1
UgwLJZxHx0lhWCqKxFF4AaABAg,lok at al trigered men coments lol saw movie amazing usualy never watch movies like these ever one great,1
UgxWowkfxNtS3CjFLC14AaABAg,movie hated enjoyed watching it gez,1
